ship,type,cost,has_cost,url
Pursuit-class light cruiser,Light cruiser,,No,https://starwars.fandom.com/wiki/Pursuit-class_light_cruiser
Qaz-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Qaz-class_Star_Destroyer
Quasar Fire I-class Cruiser-Carrier,Cruiser-carrier,,No,https://starwars.fandom.com/wiki/Quasar_Fire_I-class_Cruiser-Carrier
Quasar Fire II-class Cruiser-Carrier,Cruiser-carrier,,No,https://starwars.fandom.com/wiki/Quasar_Fire_II-class_Cruiser-Carrier
Quasar Fire-class cruiser-carrier,Cruiser / light carrier Cruiser-carrier,1750000,Yes,https://starwars.fandom.com/wiki/Quasar_Fire-class_cruiser-carrier
Raider I-class corvette,Corvette,3000000,Yes,https://starwars.fandom.com/wiki/Raider_I-class_corvette
Raider I-class corvette/Legends,Raider I-class corvette,,No,https://starwars.fandom.com/wiki/Raider_I-class_corvette/Legends
Raider II-class corvette,Corvette,,No,https://starwars.fandom.com/wiki/Raider_II-class_corvette
Raider II-class corvette/Legends,Raider II-class corvette,,No,https://starwars.fandom.com/wiki/Raider_II-class_corvette/Legends
Raider-class corvette,Corvette,,No,https://starwars.fandom.com/wiki/Raider-class_corvette
Raider-class corvette/Legends,Corvette,3000000,Yes,https://starwars.fandom.com/wiki/Raider-class_corvette/Legends
Razor-class frigate,Frigate,,No,https://starwars.fandom.com/wiki/Razor-class_frigate
Repair barge,,,No,https://starwars.fandom.com/wiki/Repair_barge
Rho-class shuttle (Transorb),,,No,https://starwars.fandom.com/wiki/Rho-class_shuttle_(Transorb)
Rho-class transport shuttle,Transport shuttle,,No,https://starwars.fandom.com/wiki/Rho-class_transport_shuttle
S-46I Medium Scout Ship,Scout ship,524000,Yes,https://starwars.fandom.com/wiki/S-46I_Medium_Scout_Ship
Scimitar assault bomber,Starfighter,120000,Yes,https://starwars.fandom.com/wiki/Scimitar_assault_bomber
Scimitar Mark II,,,No,https://starwars.fandom.com/wiki/Scimitar_Mark_II
Scout ship (TIE model),Scout vessel,,No,https://starwars.fandom.com/wiki/Scout_ship_(TIE_model)
Secutor-class Star Destroyer,Star Destroyer Battlecarrier Battlecruiser,200000000,Yes,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer
Secutor-class Star Destroyer/Legends,Star Destroyer,200000000,Yes,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer/Legends
Sentinel-class landing craft,Assault shuttle,240000,Yes,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft
Sentinel-class landing craft/Legends,Landing craft,240000,Yes,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft/Legends
Shadow Droid,Droid starfighter,,No,https://starwars.fandom.com/wiki/Shadow_Droid
Shell-cracker prototype,Patrol boat,,No,https://starwars.fandom.com/wiki/Shell-cracker_prototype
Siege platform/Legends,,,No,https://starwars.fandom.com/wiki/Siege_platform/Legends
Skim fighter,Skim fighter,,No,https://starwars.fandom.com/wiki/Skim_fighter
Skywatcher-class deep space scout ship,Transport,120000,Yes,https://starwars.fandom.com/wiki/Skywatcher-class_deep_space_scout_ship
Snoopship,,,No,https://starwars.fandom.com/wiki/Snoopship
Sorannan-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Sorannan-class_Star_Destroyer
Sovereign-class Super Star Destroyer,Super Star Destroyer,2500000000,Yes,https://starwars.fandom.com/wiki/Sovereign-class_Super_Star_Destroyer
Spiral-class Assault Ship,Assault shuttle,,No,https://starwars.fandom.com/wiki/Spiral-class_Assault_Ship
SS-39 Space Skiff,Space skiff,12500,Yes,https://starwars.fandom.com/wiki/SS-39_Space_Skiff
Star Galleon-class frigate,Frigate,17503500,Yes,https://starwars.fandom.com/wiki/Star_Galleon-class_frigate
Starcutter/Legends,,,No,https://starwars.fandom.com/wiki/Starcutter/Legends
STC003 Starcrasher,Heavy Ground / Space fighter,,No,https://starwars.fandom.com/wiki/STC003_Starcrasher
Stormtrooper transport (Skorii-Lei),Troop transport,,No,https://starwars.fandom.com/wiki/Stormtrooper_transport_(Skorii-Lei)
Strike-class medium cruiser,Medium cruiser,17000000,Yes,https://starwars.fandom.com/wiki/Strike-class_medium_cruiser
Super freighter,,,No,https://starwars.fandom.com/wiki/Super_freighter
Super Transport XI,Container shiphe,35000000,Yes,https://starwars.fandom.com/wiki/Super_Transport_XI
Super-class Star Destroyer,Super Star Destroyer,,No,https://starwars.fandom.com/wiki/Super-class_Star_Destroyer
Supertanker fuel depot,,,No,https://starwars.fandom.com/wiki/Supertanker_fuel_depot
Supply carrier/Legends,,,No,https://starwars.fandom.com/wiki/Supply_carrier/Legends
Survey Frigate,Frigate,,No,https://starwars.fandom.com/wiki/Survey_Frigate
Surveyor-class reconnaissance frigate,Frigate,9600000,Yes,https://starwars.fandom.com/wiki/Surveyor-class_reconnaissance_frigate
Surveyor-class reconnaissance frigate/Legends,Frigate,9600000,Yes,https://starwars.fandom.com/wiki/Surveyor-class_reconnaissance_frigate/Legends
SX troop transport,,,No,https://starwars.fandom.com/wiki/SX_troop_transport
T-2 Ramsidian-class yacht,Yacht,,No,https://starwars.fandom.com/wiki/T-2_Ramsidian-class_yacht
T-5 Deliverance,Personnel shuttle,,No,https://starwars.fandom.com/wiki/T-5_Deliverance
Tagge battlecruiser,Battlecruiser,,No,https://starwars.fandom.com/wiki/Tagge_battlecruiser
Tartan-class patrol cruiser,Patrol cruiser,4200000,Yes,https://starwars.fandom.com/wiki/Tartan-class_patrol_cruiser
Tech 4 PDV,Unmanned messenger pod,,No,https://starwars.fandom.com/wiki/Tech_4_PDV
Tector-class,Star Destroyer,,No,https://starwars.fandom.com/wiki/Tector-class
Tector-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Tector-class_Star_Destroyer
Temple-class heavy freighter,,,No,https://starwars.fandom.com/wiki/Temple-class_heavy_freighter
Theta-class barge,Dropship,,No,https://starwars.fandom.com/wiki/Theta-class_barge
Theta-class barge/Legends,Barge,,No,https://starwars.fandom.com/wiki/Theta-class_barge/Legends
Theta-class T-2c shuttle,Shuttlearkin,,No,https://starwars.fandom.com/wiki/Theta-class_T-2c_shuttle
Theta-class T-2c shuttle/Legends,Personal transport,,No,https://starwars.fandom.com/wiki/Theta-class_T-2c_shuttle/Legends
Thran-class vessel,,,No,https://starwars.fandom.com/wiki/Thran-class_vessel
TIE Advanced x1,Starfighter,160000,Yes,https://starwars.fandom.com/wiki/TIE_Advanced_x1
TIE Advanced x1/Legends,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Advanced_x1/Legends
TIE Advanced x7,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Advanced_x7
TIE Advanced x7/Legends,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Advanced_x7/Legends
TIE Avenger prototype,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Avenger_prototype
TIE boarding craft,Transport Shuttle,150000,Yes,https://starwars.fandom.com/wiki/TIE_boarding_craft
TIE bomber-shuttle conversion,,,No,https://starwars.fandom.com/wiki/TIE_bomber-shuttle_conversion
TIE Heavy Bomber,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Heavy_Bomber
TIE infiltrator,,,No,https://starwars.fandom.com/wiki/TIE_infiltrator
TIE lander,,,No,https://starwars.fandom.com/wiki/TIE_lander
TIE lander/Legends,Lander,,No,https://starwars.fandom.com/wiki/TIE_lander/Legends
TIE Light Duty,Light starfighter,,No,https://starwars.fandom.com/wiki/TIE_Light_Duty
TIE Oppressor,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Oppressor
TIE scout,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_scout
TIE Sentinel,Starfighter,,No,https://starwars.fandom.com/wiki/TIE_Sentinel
TIE training drone,Drone,,No,https://starwars.fandom.com/wiki/TIE_training_drone
TIE/ad starfighter,Starfighter,400000,Yes,https://starwars.fandom.com/wiki/TIE/ad_starfighter
"TIE/ag ""Aggressor"" Starfighter",Medium strike starfighter,75000,Yes,"https://starwars.fandom.com/wiki/TIE/ag_""Aggressor""_Starfighter"
"TIE/ag ""Aggressor"" Starfighter/Legends",Hybrid starfighter / bomber,75000,Yes,"https://starwars.fandom.com/wiki/TIE/ag_""Aggressor""_Starfighter/Legends"
TIE/br boarding shuttle,Boarding craft,,No,https://starwars.fandom.com/wiki/TIE/br_boarding_shuttle
"TIE/ca ""Punisher"" Starfighter",Starfighter,253000,Yes,"https://starwars.fandom.com/wiki/TIE/ca_""Punisher""_Starfighter"
TIE/ca Punisher/Legends,Starfighter,253000,Yes,https://starwars.fandom.com/wiki/TIE/ca_Punisher/Legends
"TIE/d ""Defender"" Multi-Role Starfighter",Starfighter,300000,Yes,"https://starwars.fandom.com/wiki/TIE/d_""Defender""_Multi-Role_Starfighter"
"TIE/d ""Defender"" Multi-Role Starfighter/Legends",Starfighter,300000,Yes,"https://starwars.fandom.com/wiki/TIE/d_""Defender""_Multi-Role_Starfighter/Legends"
TIE/D Defender Elite,Starfighter,310000,Yes,https://starwars.fandom.com/wiki/TIE/D_Defender_Elite
TIE/es assault shuttle,Transport,,No,https://starwars.fandom.com/wiki/TIE/es_assault_shuttle
TIE/fc,Reconnaissance,,No,https://starwars.fandom.com/wiki/TIE/fc
TIE/fc starfighter,Starfighter,,No,https://starwars.fandom.com/wiki/TIE/fc_starfighter
TIE/gt,,,No,https://starwars.fandom.com/wiki/TIE/gt
TIE/gt starfighter,Ground-targeting starfighter / bomber,,No,https://starwars.fandom.com/wiki/TIE/gt_starfighter
"TIE/hu ""Hunter"" Multi-Role Starfighter",Multi-role Starfighter,100000,Yes,"https://starwars.fandom.com/wiki/TIE/hu_""Hunter""_Multi-Role_Starfighter"
TIE/IN interceptor,Starfighter,120000,Yes,https://starwars.fandom.com/wiki/TIE/IN_interceptor
TIE/IN interceptor/Legends,Starfighter,75000,Yes,https://starwars.fandom.com/wiki/TIE/IN_interceptor/Legends
TIE/ln space superiority starfighter,Starfighter,60000,Yes,https://starwars.fandom.com/wiki/TIE/ln_space_superiority_starfighter
TIE/ln space superiority starfighter/Legends,Starfighter,60000,Yes,https://starwars.fandom.com/wiki/TIE/ln_space_superiority_starfighter/Legends
TIE/mg Mining Guild starfighter,Modified TIE / ln space superiority starfighter,40000,Yes,https://starwars.fandom.com/wiki/TIE/mg_Mining_Guild_starfighter
"TIE/ph ""Phantom"" Multi-Role Stealth Starfighter",Stealth starfighter,365000,Yes,"https://starwars.fandom.com/wiki/TIE/ph_""Phantom""_Multi-Role_Stealth_Starfighter"
"TIE/ph ""Phantom"" Multi-Role Stealth Starfighter/Legends",Starfighter,365000,Yes,"https://starwars.fandom.com/wiki/TIE/ph_""Phantom""_Multi-Role_Stealth_Starfighter/Legends"
TIE/rb heavy starfighter,Starfighter,90000,Yes,https://starwars.fandom.com/wiki/TIE/rb_heavy_starfighter
TIE/rc,Reconnaissance Surveillance,,No,https://starwars.fandom.com/wiki/TIE/rc
TIE/rc starfighter,Starfighter,,No,https://starwars.fandom.com/wiki/TIE/rc_starfighter
TIE/rc vanguard,Starfighter,,No,https://starwars.fandom.com/wiki/TIE/rc_vanguard
TIE/rp Reaper attack lander,Dropship Troop carrier,140000,Yes,https://starwars.fandom.com/wiki/TIE/rp_Reaper_attack_lander
TIE/rpt starfighter,Starfighter,,No,https://starwars.fandom.com/wiki/TIE/rpt_starfighter
TIE/sa tactical bomber,Light bomber,150000,Yes,https://starwars.fandom.com/wiki/TIE/sa_tactical_bomber
TIE/sa tactical bomber/Legends,Space / planetary bomber,,No,https://starwars.fandom.com/wiki/TIE/sa_tactical_bomber/Legends
TIE/sh shuttle,Shuttle,150000,Yes,https://starwars.fandom.com/wiki/TIE/sh_shuttle
TIE/sh VIP shuttle,Priority personnel shuttle,120000,Yes,https://starwars.fandom.com/wiki/TIE/sh_VIP_shuttle
TIE/sk x1 experimental air superiority fighter,Atmospheric fighter,50000,Yes,https://starwars.fandom.com/wiki/TIE/sk_x1_experimental_air_superiority_fighter
TIE/sr,Scouting Solitary explorer,,No,https://starwars.fandom.com/wiki/TIE/sr
TIE/sr starfighter,Starfighter,148000,Yes,https://starwars.fandom.com/wiki/TIE/sr_starfighter
Ton-Falk-class escort carrier,Heavy carrier,3500000,Yes,https://starwars.fandom.com/wiki/Ton-Falk-class_escort_carrier
Torpedo Sphere/Legends,Dedicated siege platform,327830000,Yes,https://starwars.fandom.com/wiki/Torpedo_Sphere/Legends
Tractor tug,Spacetug,,No,https://starwars.fandom.com/wiki/Tractor_tug
Transport capsule,Transport,,No,https://starwars.fandom.com/wiki/Transport_capsule
Trantor-class supertanker fuel depot,Supertanker fuel depot,,No,https://starwars.fandom.com/wiki/Trantor-class_supertanker_fuel_depot
Trenchant-class cruiser,Cruiser,,No,https://starwars.fandom.com/wiki/Trenchant-class_cruiser
Tribune-class shuttle,Shuttle,150000,Yes,https://starwars.fandom.com/wiki/Tribune-class_shuttle
Twin-pod paracapsule,,,No,https://starwars.fandom.com/wiki/Twin-pod_paracapsule
U-33 orbital loadlifter,,,No,https://starwars.fandom.com/wiki/U-33_orbital_loadlifter
Unidentified Imperial starship,,,No,https://starwars.fandom.com/wiki/Unidentified_Imperial_starship
Unidentified TIE variant,Starfighter,,No,https://starwars.fandom.com/wiki/Unidentified_TIE_variant
Unidentified TIE variant (Selk),Starfighter,,No,https://starwars.fandom.com/wiki/Unidentified_TIE_variant_(Selk)
Unidentified transport class,Transport,,No,https://starwars.fandom.com/wiki/Unidentified_transport_class
Utility Tug/Legends,Transport,,No,https://starwars.fandom.com/wiki/Utility_Tug/Legends
V-19 Torrent starfighter,Starfighter,75000,Yes,https://starwars.fandom.com/wiki/V-19_Torrent_starfighter
V-19 Torrent starfighter/Legends,Starfighter,135000,Yes,https://starwars.fandom.com/wiki/V-19_Torrent_starfighter/Legends
V-82 dropship,Troop transport,,No,https://starwars.fandom.com/wiki/V-82_dropship
V38 assault fighter,Starfighter,,No,https://starwars.fandom.com/wiki/V38_assault_fighter
Vanguard-class heavy assault gunship,Gunboat,,No,https://starwars.fandom.com/wiki/Vanguard-class_heavy_assault_gunship
Venator II-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Venator_II-class_Star_Destroyer
Venator-class Star Destroyer,Battleship,,No,https://starwars.fandom.com/wiki/Venator-class_Star_Destroyer
Venator-class Star Destroyer/Legends,Star Destroyer,59000000,Yes,https://starwars.fandom.com/wiki/Venator-class_Star_Destroyer/Legends
Vengeance-class dreadnought,Dreadnought,,No,https://starwars.fandom.com/wiki/Vengeance-class_dreadnought
Vengeance-class frigate,Frigate,,No,https://starwars.fandom.com/wiki/Vengeance-class_frigate
Vibre-class assault cruiser,Assault cruiser,2259000,Yes,https://starwars.fandom.com/wiki/Vibre-class_assault_cruiser
Victory I-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Victory_I-class_Star_Destroyer
Victory I-class Star Destroyer/Legends,Star Destroyer,57000000,Yes,https://starwars.fandom.com/wiki/Victory_I-class_Star_Destroyer/Legends
Victory II-class frigate,Frigate,,No,https://starwars.fandom.com/wiki/Victory_II-class_frigate
Victory II-class Star Destroyer,Star Destroyer,50000000,Yes,https://starwars.fandom.com/wiki/Victory_II-class_Star_Destroyer
Victory II-class Star Destroyer/Legends,Star Destroyer,50000000,Yes,https://starwars.fandom.com/wiki/Victory_II-class_Star_Destroyer/Legends
Vigil-class corvette,Corvette,3500000,Yes,https://starwars.fandom.com/wiki/Vigil-class_corvette
Vindicator-class heavy cruiser,Heavy cruiser,,No,https://starwars.fandom.com/wiki/Vindicator-class_heavy_cruiser
Vindicator-class heavy cruiser/Legends,Heavy cruiser,10400000,Yes,https://starwars.fandom.com/wiki/Vindicator-class_heavy_cruiser/Legends
VT-49 Decimator,Raiding vessel Starfighter,160000,Yes,https://starwars.fandom.com/wiki/VT-49_Decimator
VT-49 Decimator/Legends,Assault ship,160000,Yes,https://starwars.fandom.com/wiki/VT-49_Decimator/Legends
Warden-class light cruiser,Light cruiser,,No,https://starwars.fandom.com/wiki/Warden-class_light_cruiser
Warlord Dropship,Dropship,,No,https://starwars.fandom.com/wiki/Warlord_Dropship
World Devastator,Superweapon Automated factory,,No,https://starwars.fandom.com/wiki/World_Devastator
Worldcraft,Habitation sphere,,No,https://starwars.fandom.com/wiki/Worldcraft
X-26 StarHaul,Space barge,400000,Yes,https://starwars.fandom.com/wiki/X-26_StarHaul
X-fighter,Starfighter,,No,https://starwars.fandom.com/wiki/X-fighter
X3-13,Infiltration Reconnaissance Short-distance transportation,,No,https://starwars.fandom.com/wiki/X3-13
Xiytiar-class heavy transport,Transport,,No,https://starwars.fandom.com/wiki/Xiytiar-class_heavy_transport
Xiytiar-class heavy transport/Legends,Transport,800000,Yes,https://starwars.fandom.com/wiki/Xiytiar-class_heavy_transport/Legends
XL-5 Guardian force reconnaissance ship,Reconnaissance starship,,No,https://starwars.fandom.com/wiki/XL-5_Guardian_force_reconnaissance_ship
Y-4 Transport,Military Transport,250000,Yes,https://starwars.fandom.com/wiki/Y-4_Transport
Y-45 armored transport hauler,,,No,https://starwars.fandom.com/wiki/Y-45_armored_transport_hauler
Y-85 Titan dropship,Dropship,,No,https://starwars.fandom.com/wiki/Y-85_Titan_dropship
Y-85 Titan dropship/Legends,Dropship,,No,https://starwars.fandom.com/wiki/Y-85_Titan_dropship/Legends
Ye-4 gunship,Gunship,,No,https://starwars.fandom.com/wiki/Ye-4_gunship
Zebulon-B frigate,Frigate,,No,https://starwars.fandom.com/wiki/Zebulon-B_frigate
Zeta-class Heavy Cargo Shuttle,Cargo shuttle,95000,Yes,https://starwars.fandom.com/wiki/Zeta-class_Heavy_Cargo_Shuttle
